debtUndtkDstcd,CHAR(1),채무인수구분,채무인수구분,채무인수구분,0, 
debtUndtkYmd,CHAR(8),채무인수년월일,채무인수년월일,채무인수년월일,0, 
bfDbtrCustIdnfr,CHAR(10),전채무자고객식별자,전채무자고객식별자,전채무자고객식별자,0, 
bfDbtrCustMgtNo,CHAR(5),전채무자고객관리번호,전채무자고객관리번호,전채무자고객관리번호,0, 
kBStarCardLnPferSvcTagetYn,CHAR(1),KB스타카드우대여부,KB스타카드우대여부,KB스타카드우대여부,0, 
slgpMnrcvRsrctRegiRevocYn,CHAR(1),법착입금제한해제여부,법착입금제한해제여부,법착입금제한해제여부,0, 
spdbtEnrolLastCtrcNth,DECIMAL(7|0),특수채권편입최종회차,특수채권편입최종회차,특수채권편입최종회차,0, 
lFCFndsUsagDstcd,CHAR(2),외화대출자금용도구분,외화대출자금용도구분,외화대출자금용도구분,0, 
lFCPrcureFndsDstcd,CHAR(2),외화대출조달자금구분,외화대출조달자금구분,외화대출조달자금구분,0, 
lFCUseAreaDstcd,CHAR(1),외화대출사용지역구분,외화대출사용지역구분,외화대출사용지역구분,0, 
lFCFndsAllocAthorNo,CHAR(10),외화대출자금승인번호,외화대출자금승인번호,외화대출자금승인번호,0, 
fxclStupCstPaymtYn,CHAR(1),근저당설정비지급여부,근저당설정비지급여부,근저당설정비지급여부,0, 
bndDocsNo,CHAR(10),채권서류번호,채권서류번호,채권서류번호,0, 
sysLastPrcssYMS,CHAR(20),시스템최종처리일시,시스템최종처리일시,시스템최종처리일시,0, 
sysLastUno,CHAR(7),시스템최종사용자번호,시스템최종사용자번호,시스템최종사용자번호,0, 
agreChnlDtalsBzwkDstcd,CHAR(2),약정채널세부업무구분,약정채널세부업무구분,약정채널세부업무구분,0, 
fcrMatncDstcd,CHAR(1),근저당권유지구분,근저당권유지구분,근저당권유지구분,0, 
agreLnAcnMgtDstcd,CHAR(1),협약대출계좌관리구분,협약대출계좌관리구분,협약대출계좌관리구분,0, 
bizMdlDstcd,CHAR(1),사업모형구분,사업모형구분,사업모형구분,0, 
sPPITestRsultDstcd,CHAR(1),SPPI테스트결과구분,SPPI테스트결과구분,SPPI테스트결과구분,0, 
iFRS9AtpcDstcd,CHAR(1),IFRS9비정형구분,IFRS9비정형구분,IFRS9비정형구분,0, 
iFRS9FinacPrdctDstcd,CHAR(1),IFRS9금융상품구분,IFRS9금융상품구분,IFRS9금융상품구분,0, 
limtFeeDscntrt,DECIMAL(9|5),한도수수료할인율,한도수수료할인율,한도수수료할인율,5, 
debtUndtkCrtdscd,CHAR(2),채무인수신용등급구분,채무인수신용등급구분,채무인수신용등급구분,0, 
finacConsmDstcd,CHAR(1),금융소비자구분,금융소비자구분,금융소비자구분,0, 
hfwayRpayFeeFrstStartYmd,CHAR(8),중도상환시작년월일,중도상환시작년월일,중도상환시작년월일,0, 
